15	10	E	-9223384.010276219	163
emissionprobs	5	0	H3K27ac	0	0.9993079903212959
emissionprobs	5	0	H3K27ac	1	6.920096787040623E-4
emissionprobs	5	1	H3K27me3	0	0.9999589632300844
emissionprobs	5	1	H3K27me3	1	4.103676991556088E-5
emissionprobs	5	2	H3K36me3	0	0.7889231077813038
emissionprobs	5	2	H3K36me3	1	0.21107689221869622
emissionprobs	5	3	H3K4me1	0	0.987821150773687
emissionprobs	5	3	H3K4me1	1	0.01217884922631297
emissionprobs	5	4	H3K4me2	0	0.9998860929178066
emissionprobs	5	4	H3K4me2	1	1.139070821934387E-4
emissionprobs	5	5	H3K4me3	0	0.9999849470968903
emissionprobs	5	5	H3K4me3	1	1.5052903109672E-5
emissionprobs	5	6	H3K79me2	0	0.9643540031758261
emissionprobs	5	6	H3K79me2	1	0.03564599682417381
emissionprobs	5	7	H3K9ac	0	0.9996729618253538
emissionprobs	5	7	H3K9ac	1	3.2703817464618075E-4
emissionprobs	5	8	H3K9me3	0	0.9977506363492139
emissionprobs	5	8	H3K9me3	1	0.002249363650786055
emissionprobs	5	9	H4K20me1	0	0.9784665886343615
emissionprobs	5	9	H4K20me1	1	0.02153341136563853
emissionprobs	6	0	H3K27ac	0	0.9990868547711268
emissionprobs	6	0	H3K27ac	1	9.131452288731845E-4
emissionprobs	6	1	H3K27me3	0	0.9999254960508919
emissionprobs	6	1	H3K27me3	1	7.450394910811097E-5
emissionprobs	6	2	H3K36me3	0	0.7891951620142877
emissionprobs	6	2	H3K36me3	1	0.21080483798571228
emissionprobs	6	3	H3K4me1	0	0.9530281313048622
emissionprobs	6	3	H3K4me1	1	0.046971868695137836
emissionprobs	6	4	H3K4me2	0	0.99949492732351
emissionprobs	6	4	H3K4me2	1	5.050726764899542E-4
emissionprobs	6	5	H3K4me3	0	0.9999492162550297
emissionprobs	6	5	H3K4me3	1	5.0783744970215804E-5
emissionprobs	6	6	H3K79me2	0	0.3316656184509054
emissionprobs	6	6	H3K79me2	1	0.6683343815490945
emissionprobs	6	7	H3K9ac	0	0.9995242605146297
emissionprobs	6	7	H3K9ac	1	4.75739485370264E-4
emissionprobs	6	8	H3K9me3	0	0.9913171156648819
emissionprobs	6	8	H3K9me3	1	0.008682884335118103
emissionprobs	6	9	H4K20me1	0	0.890679609904719
emissionprobs	6	9	H4K20me1	1	0.10932039009528098
emissionprobs	7	0	H3K27ac	0	0.935924129774821
emissionprobs	7	0	H3K27ac	1	0.06407587022517901
emissionprobs	7	1	H3K27me3	0	0.999901861377819
emissionprobs	7	1	H3K27me3	1	9.813862218096121E-5
emissionprobs	7	2	H3K36me3	0	0.7199930382470765
emissionprobs	7	2	H3K36me3	1	0.28000696175292344
emissionprobs	7	3	H3K4me1	0	0.19568477485338218
emissionprobs	7	3	H3K4me1	1	0.8043152251466178
emissionprobs	7	4	H3K4me2	0	0.7625448646905816
emissionprobs	7	4	H3K4me2	1	0.2374551353094185
emissionprobs	7	5	H3K4me3	0	0.9804335471203003
emissionprobs	7	5	H3K4me3	1	0.019566452879699686
emissionprobs	7	6	H3K79me2	0	0.11217777613832175
emissionprobs	7	6	H3K79me2	1	0.8878222238616782
emissionprobs	7	7	H3K9ac	0	0.9311413315474645
emissionprobs	7	7	H3K9ac	1	0.06885866845253545
emissionprobs	7	8	H3K9me3	0	0.9898798156866537
emissionprobs	7	8	H3K9me3	1	0.010120184313346237
emissionprobs	7	9	H4K20me1	0	0.7705369116258742
emissionprobs	7	9	H4K20me1	1	0.2294630883741258
emissionprobs	8	0	H3K27ac	0	0.9859155688660872
emissionprobs	8	0	H3K27ac	1	0.014084431133912794
emissionprobs	8	1	H3K27me3	0	0.9987060131506422
emissionprobs	8	1	H3K27me3	1	0.0012939868493578564
emissionprobs	8	2	H3K36me3	0	0.9844154194607604
emissionprobs	8	2	H3K36me3	1	0.01558458053923959
emissionprobs	8	3	H3K4me1	0	0.48977196834748843
emissionprobs	8	3	H3K4me1	1	0.5102280316525115
emissionprobs	8	4	H3K4me2	0	0.9793908211121707
emissionprobs	8	4	H3K4me2	1	0.020609178887829288
emissionprobs	8	5	H3K4me3	0	0.9993841569197195
emissionprobs	8	5	H3K4me3	1	6.158430802804908E-4
emissionprobs	8	6	H3K79me2	0	0.9884739902123242
emissionprobs	8	6	H3K79me2	1	0.011526009787675812
emissionprobs	8	7	H3K9ac	0	0.9885817598892942
emissionprobs	8	7	H3K9ac	1	0.011418240110705821
emissionprobs	8	8	H3K9me3	0	0.9907020688178517
emissionprobs	8	8	H3K9me3	1	0.009297931182148214
emissionprobs	8	9	H4K20me1	0	0.9950895611441789
emissionprobs	8	9	H4K20me1	1	0.004910438855821102
emissionprobs	9	0	H3K27ac	0	0.4533052147251802
